degree;timeSat;timeImp;sat
0;36;0;true
1;55;0;true
2;68;0;true
3;89;0;true
4;103;0;true
5;100;0;true
6;109;0;true
7;59;0;true
8;80;0;true
9;73;0;true
10;84;0;true
11;83;0;true
12;87;0;true
13;86;0;true
14;75;0;true
15;98;0;true
16;92;0;true
17;94;0;true
18;94;0;true
19;95;0;true
20;89;0;true
21;100;0;true
22;99;0;true
23;108;0;true
24;116;0;true
25;108;0;true
26;125;1;true
27;103;0;true
28;121;0;true
29;105;0;true
30;125;0;true
31;135;0;true
32;129;0;true
33;134;0;true
34;129;0;true
35;137;0;true
36;155;0;true
37;137;0;true
38;148;0;true
39;149;0;true
40;164;0;true
41;143;0;true
42;139;0;true
43;166;0;true
44;184;0;true
45;191;0;true
46;177;0;true
47;173;0;true
48;169;0;true
49;176;0;true
50;193;0;true
51;203;0;true
52;195;0;true
53;186;0;true
54;199;0;true
55;174;0;true
56;179;0;true
57;202;0;true
58;215;0;true
59;211;0;true
60;204;0;true
61;217;0;true
62;213;0;true
63;214;0;true
64;225;0;true
65;246;0;true
66;236;0;true
67;227;0;true
68;241;0;true
69;228;0;true
70;241;0;true
71;235;0;true
72;251;0;true
73;205;0;true
74;237;0;true
75;246;0;true
76;254;0;true
77;252;0;true
78;260;0;true
79;285;0;true
80;269;0;true
81;275;0;true
82;260;0;true
83;248;0;true
84;261;0;true
85;285;0;true
86;291;0;true
87;297;0;true
88;300;0;true
89;294;0;true
90;280;0;true
91;298;0;true
92;303;0;true
93;283;0;true
94;307;0;true
95;278;0;true
96;318;0;true
97;281;0;true
98;307;0;true
99;312;0;true
100;333;0;true
101;313;0;true
102;338;0;true
103;332;0;true
104;326;0;true
105;305;0;true
106;347;0;true
107;341;0;true
108;364;0;true
109;318;0;true
110;351;0;true
111;330;0;true
112;345;0;true
113;370;0;true
114;359;0;true
115;356;0;true
116;350;0;true
117;333;0;true
118;338;0;true
119;368;0;true
120;351;0;true
121;344;0;true
122;407;0;true
123;356;0;true
124;334;0;true
125;388;0;true
126;395;0;true
127;384;0;true
128;389;0;true
129;394;0;true
130;390;0;true
131;398;0;true
132;388;0;true
133;422;0;true
134;416;0;true
135;437;0;true
136;414;0;true
137;389;0;true
138;395;0;true
139;439;0;true
140;405;0;true
141;399;0;true
142;430;0;true
143;432;0;true
144;405;0;true
145;427;0;true
146;427;0;true
147;401;0;true
148;438;0;true
149;412;0;true
150;426;0;true
151;447;0;true
152;474;0;true
153;442;0;true
154;465;0;true
155;451;0;true
156;432;0;true
157;446;0;true
158;482;0;true
159;447;0;true
160;434;0;true
161;475;0;true
162;457;0;true
163;486;0;true
164;466;0;true
165;495;0;true
166;478;0;true
167;493;0;true
168;476;0;true
169;491;0;true
170;488;0;true
171;493;0;true
172;574;0;true
173;537;0;true
174;493;0;true
175;516;0;true
176;528;0;true
177;554;0;true
178;475;0;true
179;521;0;true
180;521;0;true
181;532;0;true
182;538;0;true
183;505;0;true
184;532;0;true
185;539;0;true
186;533;0;true
187;520;0;true
188;542;0;true
189;546;0;true
190;561;0;true
191;519;0;true
192;552;0;true
193;572;0;true
194;568;0;true
195;505;0;true
196;569;0;true
197;530;0;true
198;576;0;true
199;576;0;true
200;586;0;true
201;607;0;true
202;591;0;true
203;606;0;true
204;611;0;true
205;480;0;true
206;575;0;true
207;577;0;true
208;596;0;true
209;639;0;true
210;559;0;true
211;621;0;true
212;642;0;true
213;580;0;true
214;597;0;true
215;611;0;true
216;605;0;true
217;607;0;true
218;632;0;true
219;660;0;true
220;652;0;true
221;597;0;true
222;598;0;true
223;609;0;true
224;612;0;true
225;573;0;true
226;639;0;true
227;647;0;true
228;631;0;true
229;610;0;true
230;614;0;true
231;640;0;true
232;650;0;true
233;618;0;true
234;640;0;true
235;641;0;true
236;666;0;true
237;688;0;true
238;584;0;true
239;683;0;true
240;584;0;true
241;654;0;true
242;724;0;true
243;676;0;true
244;679;0;true
245;645;0;true
246;654;0;true
247;709;0;true
248;685;0;true
249;734;0;true
250;689;0;true
251;688;0;true
252;688;0;true
253;696;0;true
254;680;0;true
255;723;0;true
256;727;0;true
257;728;0;true
258;726;0;true
259;695;0;true
260;712;0;true
261;698;0;true
262;747;0;true
263;706;0;true
264;736;0;true
265;721;0;true
266;778;0;true
267;756;0;true
268;718;0;true
269;712;0;true
270;732;0;true
271;754;0;true
272;758;0;true
273;746;0;true
274;784;0;true
275;771;0;true
276;758;0;true
277;744;0;true
278;780;0;true
279;689;0;true
280;791;0;true
281;724;0;true
282;827;0;true
283;747;0;true
284;755;0;true
285;766;0;true
286;761;0;true
287;802;0;true
288;772;0;true
289;807;0;true
290;765;0;true
291;813;0;true
292;812;0;true
293;701;0;true
294;770;0;true
295;862;0;true
296;810;0;true
297;808;0;true
298;760;0;true
299;871;0;true
300;842;0;true
301;811;0;true
302;817;0;true
303;821;0;true
304;844;0;true
305;805;0;true
306;826;0;true
307;807;0;true
308;835;0;true
309;861;0;true
310;875;0;true
311;799;0;true
312;873;0;true
313;895;0;true
314;814;0;true
315;869;0;true
316;830;0;true
317;848;0;true
318;835;0;true
319;853;0;true
320;866;0;true
321;906;0;true
322;829;0;true
323;957;0;true
324;869;0;true
325;920;0;true
326;907;0;true
327;859;0;true
328;899;0;true
329;924;0;true
330;913;0;true
331;942;0;true
332;932;0;true
333;885;0;true
334;930;0;true
335;907;0;true
336;856;0;true
337;946;0;true
338;970;0;true
339;939;0;true
340;918;0;true
341;939;0;true
342;911;0;true
343;929;0;true
344;929;0;true
345;892;0;true
346;953;0;true
347;1014;0;true
348;959;0;true
349;1021;0;true
350;909;0;true
351;932;0;true
352;976;0;true
353;1034;0;true
354;1013;0;true
355;948;0;true
356;998;0;true
357;963;0;true
358;975;0;true
359;1014;0;true
360;1082;0;true
361;1044;0;true
362;1005;0;true
363;1038;0;true
364;990;0;true
365;1030;0;true
366;1028;0;true
367;992;0;true
368;1059;0;true
369;1085;0;true
370;1037;0;true
371;966;0;true
372;1069;0;true
373;1003;0;true
374;1018;0;true
375;1076;0;true
376;1103;0;true
377;1107;0;true
378;1093;0;true
379;1047;0;true
380;1037;0;true
381;1066;0;true
382;1088;0;true
383;1099;0;true
