degree;timeSat;timeImp;sat
0;37;0;true
1;57;82;true
2;110;161;true
3;100;241;true
4;86;349;true
5;105;416;true
6;146;519;true
7;56;701;true
8;67;880;true
9;76;1136;true
10;87;1234;true
11;103;1461;true
12;125;1559;true
13;150;1705;true
14;107;2031;true
15;110;2319;true
16;92;2471;true
17;124;2764;true
18;113;2880;true
19;128;3120;true
20;153;3487;true
21;120;3767;true
22;143;4070;true
23;137;4306;true
24;144;4724;true
25;120;4976;true
26;127;5268;true
27;142;5645;true
28;132;5896;true
29;128;6546;true
30;129;6692;true
31;141;7260;true
32;143;7603;true
33;173;8066;true
34;167;8343;true
35;176;8892;true
36;169;9283;true
37;193;9866;true
38;182;10308;true
39;168;10704;true
40;170;11797;true
41;200;12219;true
42;191;12768;true
43;180;13205;true
44;190;13483;true
45;230;14138;true
46;193;14649;true
47;204;15093;true
48;192;15643;true
49;198;16471;true
50;235;17136;true
51;202;17380;true
52;222;18045;true
53;200;19062;true
54;188;19705;true
55;244;20203;true
56;216;20852;true
57;224;21822;true
58;262;22282;true
59;242;22863;true
60;237;24135;true
61;230;25040;true
62;250;25616;true
63;234;26307;true
64;287;27044;true
65;265;27853;true
66;227;28652;true
67;290;29434;true
68;231;30089;true
69;264;31239;true
70;229;31646;true
71;271;33035;true
72;272;33933;true
73;270;34975;true
74;291;35934;true
75;257;36675;true
76;278;37765;true
77;306;38905;true
78;314;39892;true
79;288;40589;true
80;291;41388;true
81;359;42247;true
82;354;43668;true
83;288;44984;true
84;283;45561;true
85;320;46409;true
86;315;48092;true
87;340;48830;true
88;299;49663;true
89;331;50480;true
90;293;51654;true
91;369;52493;true
92;386;54101;true
93;337;54939;true
94;368;55384;true
95;298;55353;true
96;300;57388;true
97;385;58132;true
98;354;59359;true
99;425;61000;true
100;358;61883;true
101;293;62849;true
102;367;64074;true
103;355;64943;true
104;362;66983;true
105;305;68079;true
106;369;68801;true
107;412;69503;true
108;358;71196;true
109;345;72466;true
110;352;73270;true
111;357;74332;true
112;379;76031;true
113;349;76669;true
114;366;77672;true
115;385;80198;true
116;431;81925;true
117;421;83847;true
118;374;84895;true
119;406;86424;true
120;411;87139;true
121;414;88453;true
122;394;90363;true
123;352;90270;true
124;398;91414;true
125;417;93680;true
126;460;94445;true
127;468;96462;true
128;414;98088;true
129;408;99435;true
130;432;100894;true
131;445;102562;true
132;419;104663;true
133;406;104737;true
134;478;104400;true
135;433;106912;true
136;489;109523;true
137;466;109333;true
138;465;111972;true
139;502;112783;true
140;376;114502;true
141;441;116275;true
142;461;119082;true
143;506;119922;true
144;522;120749;true
145;489;121841;true
146;441;126080;true
147;539;126942;true
148;431;127141;true
149;465;128389;true
150;424;132263;true
151;538;131815;true
152;361;134432;true
153;517;134477;true
154;459;137867;true
155;397;138781;true
156;470;140141;true
157;477;142836;true
158;523;143880;true
159;570;145054;true
160;443;147021;true
161;439;149318;true
162;547;151634;true
163;519;153820;true
164;517;155623;true
165;484;156610;true
166;544;159487;true
167;514;160638;true
168;536;162155;true
169;489;161887;true
170;567;165941;true
171;548;168285;true
172;546;171706;true
173;512;173591;true
174;564;176748;true
175;492;176117;true
176;555;180825;true
177;566;183542;true
178;765;183843;true
179;622;185329;true
180;580;186392;true
181;527;188947;true
182;640;191349;true
183;557;192475;true
184;624;197926;true
185;523;201395;true
186;556;203534;true
187;504;211023;true
188;625;214458;true
189;562;218084;true
190;734;221200;true
191;590;225479;true
192;603;226754;true
193;804;231341;true
194;670;229154;true
195;769;227155;true
196;574;225441;true
197;626;218568;true
198;593;203918;true
199;692;187895;true
200;683;174965;true
