degree;timeSat;timeImp;sat
0;56;73;true
1;139;118;true
2;139;219;true
3;139;235;true
4;140;313;true
5;153;416;true
6;150;534;true
7;176;665;true
8;114;960;true
9;115;1120;true
10;132;1438;true
11;147;1910;true
12;187;2289;true
13;194;2794;true
14;227;3370;true
15;330;3753;true
16;271;4672;true
17;323;6029;true
18;420;6791;true
19;452;8329;true
20;473;9742;true
21;553;11323;true
22;562;13496;true
23;715;16133;true
24;804;18373;true
25;855;22321;true
26;963;26647;true
27;978;30619;true
28;1089;35093;true
29;1325;41379;true
30;1471;48517;true
31;1658;57072;true
32;1798;65119;true
33;1956;69551;true
34;2205;87895;true
35;2460;98426;true
36;2831;117872;true
37;3089;130908;true
38;3436;145907;true
39;3741;168524;true
40;4168;197805;true
41;4270;222901;true
42;4725;263809;true
43;5254;297578;true
44;5744;314926;true
45;6262;390588;true
46;6815;437618;true
47;7303;421396;true
48;8163;494774;true
49;8782;514804;true
50;9582;610625;true
51;10284;740324;true
52;11113;699083;true
53;11950;847545;true
54;12895;1078419;true
55;13969;1092077;true
56;15466;1167255;true
57;16866;1179561;true
58;18094;1441826;true
59;19376;1676150;true
60;20790;1554567;true
61;22323;2280850;true
62;23892;2066037;true
63;25587;2750371;true
64;27613;2721151;true
65;29571;2912609;true
66;31742;2885907;true
67;33931;3151444;true
68;36144;3334459;true
69;38547;4816778;true
70;41442;5252276;true
71;43946;5827391;true
72;46811;4935648;true
73;49846;5225403;true
74;53380;5937715;true
75;56202;5469218;true
76;59783;7543744;true
77;63854;8502293;true
78;68659;7295869;true
79;72101;7560819;true
80;76148;10334104;true
81;81179;10039596;true
82;85622;11078137;true
83;91259;10609183;true
84;98674;12723265;true
85;101554;12463900;true
86;108964;10008658;true
87;113574;11369337;true
88;119302;18386654;true
89;126427;14085107;true
90;134814;15121894;true
91;140029;19100794;true
92;148125;23221025;true
93;155405;28750521;true
94;164174;19931692;true
95;172367;31638775;true
96;183197;26096081;true
97;190828;29954515;true
98;201502;30862271;true
99;211719;27241320;true
100;228338;27375849;true
